4471179.427	446761.044	5
4471176.808	446761.044	5
4471174.189	446761.044	5
4471171.570	446761.044	5
4471168.951	446761.044	5
4471166.332	446761.044	5
4471163.713	446761.044	5
4471161.094	446761.044	5
4471158.475	446761.044	5
4471155.856	446761.044	5
4471153.237	446761.044	5
4471150.617	446761.044	5
4471147.998	446761.044	5
4471145.379	446761.044	5
4471142.760	446761.044	5
4471140.141	446761.044	5
4471137.522	446761.044	5
4471134.903	446761.044	5
4471132.284	446761.044	5
4471129.665	446761.044	5
4471127.046	446761.044	5
4471124.427	446761.044	5
4471136.126	446763.714	3
4471135.239	446766.251	3
4471133.809	446768.526	3
4471131.909	446770.426	3
4471129.634	446771.856	3
4471127.097	446772.743	3
4471124.427	446773.044	3
4471121.757	446772.743	3
4471119.220	446771.856	3
4471116.945	446770.426	3
4471115.045	446768.526	3
4471113.615	446766.251	3
4471112.728	446763.714	3
4471112.427	446761.044	3
4471127.046	446751.044	5
4471129.665	446751.044	5
4471132.284	446751.044	5
4471134.903	446751.044	5
4471137.522	446751.044	5
4471140.141	446751.044	5
4471142.760	446751.044	5
4471145.379	446751.044	5
4471147.998	446751.044	5
4471150.617	446751.044	5
4471153.237	446751.044	5
4471155.856	446751.044	5
4471158.475	446751.044	5
4471161.094	446751.044	5
4471163.713	446751.044	5
4471166.332	446751.044	5
4471168.951	446751.044	5
4471171.570	446751.044	5
4471174.189	446751.044	5
4471176.808	446751.044	5
4471179.427	446751.044	5
4471177.514	446751.425	4
4471175.891	446752.508	4
4471174.808	446754.131	4
4471174.427	446756.044	4
4471174.808	446757.957	4
4471175.891	446759.580	4
4471177.514	446760.663	4
4471179.427	446761.044	4
